number,href,img,name,price,cnum,Тип,Модель,Подсветка,Диагональ экрана， дюймы,Тип матрицы,Максимальное разрешение,Входные интерфейсы,Размер упаковки (ДхШхВ)， см,Гарантия,Вес в упаковке， г,Страна-изготовитель,Мультимедийный плеер,Особенности,Комплектация,Размеры， мм
1,/context/detail/id/144054492/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021955236.jpg,Автомобильный телевизор Hyundai H-LCD1000,7090,3,Автомобильный телевизор,H-LCD1000,LED,10,LCD,1024x600,Аудио/видео разъем (AV),29，2 х 18，2 х 8，5,1 год,1090,Китай,null,null,null,null
2,/context/detail/id/144054494/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021955235.jpg,Автомобильный телевизор Hyundai H-LCD900,5990,1,Автомобильный телевизор,H-LCD900,LED,9,LCD,800x480,Аудио/видео разъем (AV),34，5 х 19 х 8，3,1 год,1090,Китай,null,null,null,null
3,/context/detail/id/144054493/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021955234.jpg,Автомобильный телевизор Hyundai H-LCD700,4889,5,Автомобильный телевизор,H-LCD700,LED,7,LCD,800x480,Аудио/видео разъем (AV),20，9 х 15，5 х 9，5,1 год,760,Китай,null,null,null,null
4,/context/detail/id/144054505/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981609.jpg,Автомобильный телевизор Digma DCL-920， Black,6090,0,Автомобильный телевизор,DCL-920,LED,9,TFT,800х600,null,null,12 мес,1110,Китай,MP3， WMA， AVI， JPEG， BMP,Цифровой тюнер,null,null
5,/context/detail/id/144054503/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981620.jpg,Автомобильный монитор Digma DCM-432， Black ,1719,1,Автомобильный телевизор,DCM-432,LED,4，3,TFT,480x272,RCA,14 x 14 x 2,12 мес,2685,Китай,null,null,null,null
6,/context/detail/id/144054502/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981612.jpg,Автомобильный телевизор Digma DCM-430， Black,1459,0,Автомобильный телевизор,DCM-430,LED,4.3,TFT,null,RCA,16 x 14 x 5.5,12 мес,205,Китай,null,null,null,null
7,/context/detail/id/32872912/,//ozon-st.cdn.ngenix.net/multimedia/c300/1012597234.jpg,Rolsen RCL-900 портативный телевизор,6090,5,Автомобильный телевизор,1-RLCA-RCL-900,null,9,null,800х600,null,35 x 20 x 9,12 мес.,1155,Россия,null,null,адаптер переменного тока， устройство питания от бортовой сети автомобиля， подставка， пульт ду,250 x 180 x 32
8,/context/detail/id/144054507/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981607.jpg,Автомобильный телевизор Digma DCL-700， Black,3129,0,Автомобильный телевизор,DCL-700,LED,7,TFT,480x234,null,22 x 10 x 16,12 мес,845,Китай,null,null,null,null
9,/context/detail/id/144054506/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981608.jpg,Автомобильный телевизор Digma DCL-720， Black,5290,0,Автомобильный телевизор,DCL-720,LED,7,TFT,null,null,null,12 мес,830,Китай,null,null,null,null
10,/context/detail/id/146006906/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981611.jpg,Уценённый товар. Digma DCM-350， Black автомобильный монитор Уцененный товар (№1),1319,0,Автомобильный телевизор,DCM-350,LED,3，5,TFT,320x240,RCA,null,12 мес,195,Китай,null,null,null,null
11,/context/detail/id/144054508/,//ozon-st.cdn.ngenix.net/multimedia/c300/1021981610.jpg,Автомобильный телевизор Digma DCL-1020， Black,7490,0,Автомобильный телевизор,DCL-1020,LED,10.1,TFT,1024x600,null,30 x 19 x 9,12 мес,1135,Китай,MP3， BMP， JPEG， WMA， AVI,Цифровой тюнер,null,null
